date,maximum,minimum,mean
2022-08-27,28.37272,14.892721,22.198141
2022-08-28,28.92272,14.302721,19.986471
2022-08-29,13.862721,9.102721,11.372304
2022-08-30,16.18272,9.462721,12.092304
2022-08-31,20.40272,9.442721,13.82064
2022-09-01,25.10272,9.362721,17.42689
2022-09-02,28.53272,14.172721,21.40397
2022-09-03,20.50272,10.632721,16.341051
2022-09-04,13.872721,10.152721,12.013972
2022-09-05,20.92272,11.552721,14.731056
2022-09-06,23.12272,13.332721,16.983137
2022-09-07,23.03272,14.872721,18.59022
2022-09-08,29.37272,14.722721,22.689384
2022-09-09,32.06272,17.86272,25.849802
2022-09-10,29.24272,14.232721,21.713552
